Country Name,GDP Data,Enrollment Rates
Azerbaijan,9985.464707,nan
Azerbaijan,10241.24585,nan
Azerbaijan,10497.027,nan
Azerbaijan,8947.8769,nan
Azerbaijan,7398.7268,nan
Azerbaijan,5849.5767,nan
Azerbaijan,4515.355,nan
Azerbaijan,2779.1174,nan
Azerbaijan,2625.0737,nan
Azerbaijan,2399.5999,nan
Azerbaijan,2387.8008,nan
Azerbaijan,2512.8457,nan
Azerbaijan,2816.3289,nan
Azerbaijan,3176.2764,nan
Azerbaijan,3260.5984,nan
Azerbaijan,3405.857,nan
Azerbaijan,3566.5247,nan
Azerbaijan,5500.5513,nan
Azerbaijan,7976.9453,nan
Azerbaijan,10800.024,nan
Azerbaijan,11934.759,nan
Azerbaijan,12098.649,nan
Azerbaijan,14367.471,86.979
Azerbaijan,18106.38,86.972
Azerbaijan,19267.303,85.783
Azerbaijan,17494.54,85.076
Azerbaijan,18844.375,84.949
Azerbaijan,14581.192,86.499
Azerbaijan,13778.009,76.23
Azerbaijan,14091.36,78.159
Azerbaijan,15542.556,94.48008
Azerbaijan,15858.924,94.77549
Azerbaijan,15858.924,81.75826
Azerbaijan,15858.924,81.65769
Azerbaijan,15858.924,80.6305
Azerbaijan,15858.924,80.6305
Azerbaijan,15858.924,80.6305
Bahamas,28855.234,89.05914
Bahamas,23725.016,83.69575
Bahamas,24608.107,83.69349
Bahamas,26402.072,84.27518
Bahamas,31176.812,90.36211
Bahamas,31468.486,83.40092
Bahamas,30311.287,84.80752
Bahamas,33097.246,90.84943
Bahamas,31711.605,87.73244333
Bahamas,33132.844,84.61545667
Bahamas,29458.385,81.49847
Bahamas,27419.734,82.63143
Bahamas,27700.953,90.97876
Bahamas,26600.822,91.57901
Bahamas,25366.29,87.07275
Bahamas,24513.105,85.96348
Bahamas,29444.889,83.62636
Bahamas,28613.36,81.28924
Bahamas,30194.86,78.59306
Bahamas,33521.77,75.89688
Bahamas,35694.668,79.37664
Bahamas,33718.145,82.8564
Bahamas,39583.043,86.33616
Bahamas,37698.773,83.516685
Bahamas,35546.84,80.69721
Bahamas,39094.715,81.65555
Bahamas,35367.03,82.07
Bahamas,38033.254,85.14445
Bahamas,35293.496,85.34673
Bahamas,34834.35,84.87865
Bahamas,33069.75,85.44678
Bahamas,33998.285,82.03259
Bahamas,35776.676,83.03085
Bahamas,31076.469,74.58459
Bahamas,33804.51,79.04047
Bahamas,30962.688,76.69421143
Bahamas,30996.61,74.34795286
Bahamas,32001.691,72.00169429
Bahamas,32339.086,69.65543571
Bahamas,33088.543,67.30917714
Bahamas,33088.543,64.96291857
Bahamas,33088.543,62.61666
Bahamas,33088.543,62.61666
Bahamas,33088.543,62.61666
Bahamas,33088.543,62.61666
Bangladesh,1333.4319,19.61556
Bangladesh,1325.1575,17.32423
Bangladesh,1288.6855,19.013625
Bangladesh,1280.0214,20.70302
Bangladesh,1369.7687,20.79852
Bangladesh,1393.2859,20.12691
