,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
49,Cyprus,0.642857143,0.428571429,0.214285714,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,18.66666667,35.33333333,52,28.5,5,3.333333333,1.666666667,0,0,1.333333333,2.666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,101,50.5,0
50,Czechia,,,,,,,,,,,,,,,,,1,29,6,3,0,10,20,418,210.5,3,19,4,2,15,23,27.5,32,15,11.25,7.5,3.75,0,3,2,1,6,280,0,0
51,Czechoslovakia,2,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Democratic Republic of Congo,0,0,0,0,0,0,0,0,0,0,23,16,9,24,39,26,13,0,1,2,32,62,240,29,21.5,14,4,32,36,0,54,0,1,83,165,55,50,279,51,80,83,32,223,3086,2
53,Denmark,0,9,5.5,2,1,0,0.2,0.4,0.6,0.8,1,0.5,0,1,2,3,4,5,6,7,5,3,1,2,3,4,2,0,0,0,0,0.666666667,1.333333333,2,29.88888889,57.77777778,85.66666667,113.5555556,141.4444444,169.3333333,197.2222222,225.1111111,253,253,253
54,Djibouti,0,25,12.5,0,0,0,0,0,0,10,7.5,5,2.5,0,145,0,0,0,0,0,0,0,17,34,51,0,0,0,0,0,0,0,0.285714286,0.571428571,0.857142857,1.142857143,1.428571429,1.714285714,2,11,8,4,0,0,0
55,Dominica,0,0.5,1,1.5,2,1.6,1.2,0.8,0.4,0,0.333333333,0.666666667,1,1.333333333,1.666666667,2,1.5,1,0.5,0,0,0,0,0,0,0.666666667,1.333333333,2,1.5,1,0.5,0,7.5,15,22.5,30,47,64,64,64,64,64,64,64,64
56,Dominican Republic,7,20,10,0,6,12,12,3,0,0,5,10,20,30,20.5,11,27,187,347,232.3333333,117.6666667,3,3,21,703,12,93.5,175,13,7,7,11,8,0,1,2,21,5,0,3,6,2,2,38,38
57,East Germany,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,East Timor,,,,,,,,,,,,,,,,,,,,,,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,1.5,2.25,3,41,41,41,41
59,Ecuador,8,38,68,339,169.5,0,2551,5102,2568.5,35,4,13,22,460,0,3,27,137,111,0,78,58,91,0,7,14,21,31,41,3,14,7,34,24,3,12,682,460,238,16,0,6,77,119,6
60,Egypt,50.125,47.25,44.375,41.5,38.625,35.75,32.875,30,22.75,15.5,8.25,1,552,34,600,49,34,22,15.66666667,9.333333333,3,10.5,18,15.5,13,34.25,55.5,76.75,98,78,58,74.6,91.2,107.8,124.4,141,26,29.5,33,36.5,40,3,3,3,3
61,El Salvador,440.3076923,480.1538462,520,665,810,955,1100,577.5,55,10,7.333333333,4.666666667,2,22,0,8,12,4,475,7,3,1159,1,40.66666667,80.33333333,120,1,2,30,275,17,35,17.5,0,6.5,13,0,10,4,1,75,5,11,3,3
62,Eritrea,,,,,,,,,,,,,,3,2.5,2,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2.666666667,2.333333333,2,1.666666667,1.333333333,1,2,3,4,5,6,7,47,87,127,167,167,167
64,Eswatini,,,,500,53,44.16666667,35.33333333,26.5,17.66666667,8.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1.833333333,3.666666667,5.5,7.333333333,9.166666667,11,5.5,0,0,0,0,0,0,0,0,0
65,Ethiopia,6573.333333,0,60147,120294,179706,9,188,367,45,0,0,13,0,2,26,27,40,326,0,48,73,5,22,119,0,211,951,22,45,0,19,0,0,0,0,0,128,0,44,23,34,16,0,151,151
66,Europe,4765,157,120,173,508,599,59,1379,25110,456,373,558,132,542,325,2541,166,431,669,924,667,1267,1000,72345,166,896,4716,785,236,732,56412,247,1294,894,275,3856,416,331,280,2973,6746,303,61759,161,20
67,European Union (27),4765,75,119,152,83,435,56,1170,66,54,218,138,89,49,157,114,138,353,517,680,330,445,399,71000,112,836,3775,754,174,691,547,242,619,112,176,3814,352,211,270,2690,4159,269,56951,101,14
68,Fiji,18,0,4.5,9,20.5,32,20,1,5.5,10,0,0.5,1,21,22,23,24,25,0,12,4,1,9,17,16,10,4,7,7,14,2,9.5,17,11.33333333,5.666666667,0,47,27,7,1,8,6,1,0,0
