,Country Name,Country Code_x,Country Code_y,ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
63,Curacao,,CUW,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cyprus,CYP,CYP,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,97.0,,,,,,,,,,99.0,,,,99.05978,,,,,,99.360000305,,
65,Czechia,CZE,CZE,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Democratic Republic of Congo,COD,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.20555,,,,,75.0,,,77.22167,77.0,,73.55303,,,,80.54,
67,Denmark,DNK,DNK,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Djibouti,DJI,DJI,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dominica,DMA,DMA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dominican Republic,DOM,DOM,1.5,,,,,,,,,,,67.0,68.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,73.0,,,,,,,,,,,,,,,,,,,,,87.0,,,,,88.0,,,90.0,90.0,90.0,91.0,92.0,92.0,94.0,,,,,,95.5,
71,Early-demographic dividend,,EAR,1.5,,,,,,,,,,,,,,,,48.92340088,49.1531105,49.75986099,50.37519073,50.96231842,51.55112839,52.14300919,52.77219009,53.38526917,54.17990112,54.81098938,55.44097137,56.33779907,57.06465912,57.74956131,58.61248016,59.28057098,60.11782074,60.93613052,61.69287872,62.52106857,63.23437881,63.9301796,66.90170288,67.5488205,68.69577906,68.86483765,69.49545288,70.43015289,71.09046936,71.08133698,71.11062622,72.08509064,72.94660187,73.71276855,75.90331940499999,75.36026001,75.60447693,76.30715942,77.0951004,78.01100922,78.67870331,78.93888092,79.2979126,79.56617737,80.07386017,80.50227356,81.00576019,81.49595642
72,East Asia & Pacific,,EAS,1.5,,,,,,,,,,,,,,,,,65.69100189,65.87666321,66.96806335,68.20413971,69.30146027,70.34557343,71.31439972,72.24469757,73.23162842,74.16797638,75.00071716,76.17424774,79.9597702,80.5892334,81.17076111,81.71116638,82.22357178,82.68984222,83.24468994,83.8042984,84.29004669,89.27748871,89.64290619,89.96028137,90.97027182,90.63564301,90.98982239,91.36144257,91.6944809,92.02960968,92.37918854,93.51249695,93.81617737,94.08518219,94.65419621000001,93.86460114,94.09501648,94.20693207,94.71124268,94.92791748,95.13195801,95.32305145,95.36943054,95.80687714,96.02870178,96.16493225,96.30092621,96.43048859
