,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
31,Burundi,,,,,,,,,,66.992874,227.71565660000002,388.43843920000006,549.1612218,709.8840044000001,870.606787,1031.3295696,1192.0523522,1352.7751348000002,1513.4979174000002,1674.2207,4578.144,4470.7397,120.31973,0.0,359.8061,26887.62,2383.9302,349.34363,834.23615,995.66315,1331.1621,7.773059,45.461845999999994,83.150633,120.83942,52.306515,13.188633,7.2609324,417.2454,115.496315,341.7448,377.3499,224.74761,72.14532,4.8191314
32,Cambodia,,,,,,,,0.0,2429.97325,4859.9465,7289.91975,9719.893,10119.255666666666,10518.618333333334,10917.981,17685.893,28942.332,0.0,2774.9325,5549.865,28451.996,15960.045,16876.586,8438.293,0.0,4529.4683,281.94553,138.5365,698.3098,1258.0831,0.0,11253.156,483.54428,10000.206,3487.3208,183.55733,16000.424,8018.3614925,36.298985,2683.9019,4631.1294,82.741425,1000.54565,83.21122,83.21122
33,Cameroon,,,,,0.0,51.603375,103.20675,56.2503965,9.294043,413.4211015,817.54816,795.1453,530.0968666666668,265.0484333333334,0.0,5.4561626,10.9123252,16.3684878,21.8246504,27.280813,3.3131018,9.681632,5.14654555,0.6114591,0.30572955,0.0,28.205332,56.410664,133.14102,74.355481,15.569942,159.881591,304.19324,3.7211921,1121.0968,130.36308,91.602858,52.842636,26.421318,0.0,99.6637,4603.859850000001,9108.056,6.981462,6.981462
34,Canada,20.398579,0.0,0.7967647,0.0,94.04704,26.783863,34.078625,0.94564843,0.0,91.76195,0.0,0.0,0.0,0.69763786,14.851012,41.311832,40.548958,102.40021,43.45689,18.750137,2.7376442,3.9673877,1.915562,8.444168,3.1336498,18.31393,11.988246,1.521493,7.2248807,0.604276,0.0,26.279345,4.3237786,285.19525,19.500282,36.482582,244.50668,171.12604,21.412027,51.968704,192.50064,40.760044,15.602925,81.09581,81.09581
35,Cape Verde,,,680.9142,0.0,1639.4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.9457333333333,1021.8914666666666,1532.8372,1779.0834666666667,2025.3297333333333,2271.576,3288.5116,4305.4472000000005,5322.3828,6339.3184,5437.857184714286,4536.395969428571,3634.9347541428574,2733.473538857143,1832.0123235714286,930.5511082857145,29.089893,74.2531764,119.4164598,164.5797432,209.74302659999998,254.90631,200.66321,6295.471105,12390.279,9690.442666666668,6990.606333333334,4290.77,6030.7485,7770.727,7770.727,7770.727
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,0.0,706.21466,353.10733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Central African Republic,,75.78818,37.89409,0.0,0.0,11.094841818181818,22.189683636363636,33.28452545454545,44.37936727272727,55.47420909090909,66.5690509090909,77.66389272727272,88.75873454545454,99.85357636363636,110.94841818181818,122.04326,520.2796,389.532315,258.78503,1256.208,667.117935,78.02787,19.080793,5.959989,308.5674,565.5946,372.065425,178.53625,17.796236,525.1784,34.012394,100.71773,81.55773,869.0796,446.1181465,23.156693,83.52523649999999,143.89378,503.07726,862.26074,467.38546,72.51018,42474.137,105.63675,105.63675
38,Chad,,1363.4586,7781.462,7402.987,7310.6357,7271.33,5143.605433333333,3015.8808666666664,888.1563,592.18143158,296.20656316,0.23169474,2326.31799737,4652.4043,2911.8286,1171.2529,2974.60495,4777.957,12.9716625,2173.7463,6800.5701500000005,11427.394,9141.9152,6856.4364000000005,4570.957600000001,2285.478800000001,0.0,1614.7462,130.19576,2775.6018,18818.47,16731.288500000002,14644.107,2616.2825,5088.974125000001,7561.66575,10034.357375000001,12507.049,6254.950691350001,2.8523827,221.89636,1566.8452,18256.13,18256.13,18256.13
39,Chile,,,67.75406,12.724899,2660.3496,12025.211,678.6043,1592.9318,15.481799,0.0,18.73659,1076.6228,275.71594,25.902985,53.9904225,82.07786,488.21773,894.3576,450.473385,6.58917,1183.3594,96.36064,1628.9365,1.797074,56.18691,179.93468,586.86566,152.49574,916.8162,8314.4416,15712.067,173.14398,169.06578,0.0,3035.7817,4947.174,0.5529787,111.815926,61.4937235,11.171521,8.4867745,5.802028,43.81818,329.039,141.03578
40,China,10.912357,322.18195,80.529015,3.8925333,2.6853807,22.240248,1340.3917,234.3724,6833.5923,12188.872,4184.525,18697.299,2443.8115,735.8675,18449.525,12056.29,14272.054,1279.7838,20443.803,10467.738,2008.7328,3171.932,22272.025,17034.445,4083.043,6432.976,6758.0796,9087.974,10155.786,6967.081,14011.535,11297.0205,3260.937,2001.9924,4686.187,272.07663,5149.5366,1055.8496,588.4062,375.53528,1047.4888,1254.58,442.49338,158.77959,1.260684
